"code_agrologic";"designation";"ca"
21605;"RAVIO x 8 MDAUC    8x  .220 021";49916
21606;"N CREV 75 x 4 MDAUC    8x  .340";243471
21607;"N PORC 75 x 4 MDAUC    8x  .340";182583
21608;"N POUL 75 x 4 MDAUC    8x  .340";152849
21609;"N PORC 75 x 8 MDAUC    8x  .660";396572
21610;"SAMOSSA  x 6 MDAUC    8x  .170";90122
21613;"ACRA 15G x 12 MDAUC    8x  .200";78304
21618;"N POUL 75G x 8 MDAUC    8x  .66";341426
21619;"N CREV 75G x 8 MDAUC    8x  .66";477109
21621;"APERITIF ASIA MDAUC    8x  .320";240608
21622;"ASS INDIEN MDAUC    8x  .320 02";149760
21623;"ASS CREOLE MDAUC    8x  .320 02";110814
21624;"ASS GREC MDAUC    8x  .320 021";95236
21625;"ASS ASIA MDAUC    4x  .535 021";444414
21632;"MENU DEC MDAUC    4x  .854 021";43074
21636;"10 ACRAS MORUE 220G MDAUC    8x";22353
21637;"12 MINI SAM VOL 340G MDAUC    8";21411
21638;"6 BEIGNET CREV 140G MDAUC    8x";41956
21639;"16 MINI N 360G MDAUC    8x  .36";147348
21640;"4 MINI N PLT 160G MDAUC    8x";23141
21641;"4 N CREV 300G MDAUC    8x  .300";68738
21642;"4 N PORC 300G MDAUC    8x  .300";43485
21643;"4 N PLT 300G MDAUC    8x  .300";36207
21644;"4 SAM BOF 240G MDAUC    8x  .24";12865
21645;"4 SAM LEG MDAUC 8X240G    8x  .";5912
21646;"4 SAM VOLAILLE 240G MDAUC    8x";6303
21647;"8 RAV CHINOI FRIT 220G MDAUC";10534
21648;"GD PLAT ASIA 600G MDAUC    4x";141449
21649;"8 SAM VOLAILLE 460G MDAUC    8x";16949
21650;"8 N PLT 580G MDAUC    8x  .580";75460
21651;"8 N PORC 580G MDAUC    8x  .580";90813
21652;"8 N CREV 580G MDAUC    8x  .580";112507
21653;"8 SAM BOF 460G MDAUC    8x  .46";20655
21654;"PLAT APERITIF ASIA MDAUC 6X300G";64508
21656;"8 SAM LEG 460G    8x  .460 021";16341
21700;"N CREV 30 x 6 UFCAR    8x  .200";217359
21701;"N PORC 30G x 6 UFCAR    8x  .20";100824
21702;"N POUL 30G x 6 UFCAR    8x  .20";144958
21703;"N PORC 75G x 2 UFCAR    8x  .15";16760
21704;"SAM BOEUF 70G UFCAR    8x  .140";57633
21705;"SAM VOL 70G UFCAR    8x  .140 0";23784
21706;"G CRABE 100G UFCAR    8x  .200";36209
21707;"N PORC 75G x 6 UFCAR    6x  .45";145274
21708;"N PORC 30 x 10 UFCAR    6x  .30";188285
21710;"B CREV 30G UFCAR    8x  .200 02";126781
21712;"RIZ CANTONAIS 300G UFCAR    6x";172724
21713;"RAVIO CREV UFCAR   10x  .220 02";36676
21714;"CHIPS CREVETTE 60G x18 CARR   1";92867
21715;"SAUCE NUOC MAM 106ML NEUTRE C";64969
21751;"ASS ASIA MDCAR    4x  .340 035";357861
21754;"ASS ASIA MDCAR x8    8x  .340 0";187328
21770;"ASS ASIA MDCHA x4    4x  .340 0";141417
21790;"ASS ASIA MDCHA (GJ) x4    4x  .";34192
21801;"ACRA 15G MDITM    6x  .180 021";332222
21802;"ASS EXO 380G MDITM    4x  .380";604832
21803;"SAM PORC 50G MDITM    6x  .200";233976
21804;"B CREV 20G MDITM    6x  .140 02";330101
21850;"PATE IMP BOF   10x  .400 021 UL";38183
21851;"WANTAN BOF   10x  .400 021 ULTR";22112
21852;"ASS APERITIF EXO BOF   10x  .36";20925
21854;"ASS APERITIF EXO BOF 360G   10x";37309
21900;"PATE IMP UFNORMA   12x  .320 02";111813
21921;"N POULET 25G MDPIC    8x  .240";347754
21931;"N PORC 75G MDNET    8x  .320 03";152967
21932;"N PLT 25G MDNET    8x  .490 030";27469
21933;"ASS ASIA 380G MDNET    8x  .380";21140
21935;"ASS ASIA 465G MDNET    4x  .465";20360
21950;"ASS ASIA 400G ED    9x  .400 03";582702
21951;"SAM BOEUF 170G ED    8x  .170 0";28870
23008;"CALAMARS FARCIS LSBL    4x  .30";526858
23012;"PAVE DE VEAU LSBL    4x  .300 0";1249855
23017;"COQ GEVREY CHAMB LSBL    4x  .3";266136
23055;"FLT ROUGET BARBET LSBL    4x  .";197419
23081;"MORUE PARMENTIERE LSBL    4x  .";89
23107;"PARMENTIER BOEUF 300G LSBL    4";104168
23108;"EMIETTE THON 300G LSBL    4x  .";53346
23109;"RISOTTO ECREVISSE 300G LSBL";187716
23110;"PENNES SEICHES 300G LSBL    4x";121
23111;"VEAU CUISINE MAC LSBL    4x  .3";100355
23112;"LANGUE BOEUF LSBL    4x  .320 0";267426
23114;"CREV MARINEES 300G LSBL    4x";51768
23116;"BF CUISINE CAROTTE 450G LSBL";22580
23118;"SAUTE PORC MARENGO 450G LSLBL";4335
24000;"BRICK CHEVRE BASIL 330G LSILYA";13382
24001;"KEFTA AGNEAU 330G LSILYA    4x";6589
24002;"TAJINE MAROC POIS 330G LSILYA";738
24003;"TOMATE FCE RICOTTE LSILYA 330G";5751
24004;"THON ARRABIATA 330G LSILYA    4";4859
24005;"VOLAIL CATALAN RIZ 330G LSILYA";10687
27000;"RIZ CANTO LSTDA 300G    4x  .30";76183
27001;"NOUILLES CHINOISES PLT LSTDA";351166
27002;"NOUILLES VIET CREVETTE LSTDA";107
27003;"BROCH VOLAILLE CURRY LSTDA    4";167593
27004;"NOUILLES CHIN PORC LSTDA    4x";175066
27005;"RIZ CANTO 300G LSTDA +20% GRAT";76824
27050;"SPE THAI CREVETTES LSTDA    4x";51721
27051;"SPE POULET LSTDA    4x  .300 02";35146
27100;"SALADE SURIMI LSTDA    4x  .280";61595
27101;"SALADE LEGUMES LSTDA    4x  .28";52915
27150;"HACAO LSTDA    4x  .200 021 ULT";686450
27151;"8 XUI MAI CREV 200G LSTDA    4x";463484
27500;"ALBONDIGAS 280G LSCOMP    4x  .";26256
27501;"BURRITOS CHILI 305G LSCOMP    4";221346
27502;"CHILI 280G LSCOMP    4x  .280 0";41077
27503;"ENCHILADAS PLT 305G    4x  .305";428176
27504;"FAJITAS PLT 305G LSCOMP    4x";619586
27505;"PLATEAU TEX MEX 342G LSCOMP";104763
27506;"RIBS 250G LSCOMP    4x  .250 02";26419
27507;"ASS TAPAS CHAUD LSCOMP    4x  .";17383
27511;"ASS TAPAS FROID LSCOMP    4x  .";18728
28000;"6 PAELLA / 6 COUSCOUS NORMA   1";31147
32658;"TARTIFLETTE 320G MDAUC    8x  .";199145
32659;"HACHIS PARMENTIER 350G MDAUC";417398
32678;"BRANDADE MORUE 350G MDAUC    8x";90912
32690;"HACHIS PARMENTIER 1KG MDAUC";236316
32691;"TARTIFLETTE 1KG MDAUC    4x 1.0";220677
32692;"CASSOULET 350G MDAUC    6x  .35";21227
32693;"FLT RASCASSE BLANC 290G MDAUC";24119
32694;"CREV SCE PIQ RIZ 300G MDAUC";26484
32695;"NOUILLE LEG PLT 300G MDAUC    4";25013
32696;"PORC CHOP SUEY RIZ MDAUC    4x";13482
32697;"PLT BASQUAISE 1KG MDAUC    4x 1";17076
32751;"CHAPON SCE FOIE GRAS MDAUC 840G";4752
32752;"CROUST FRUITS MER MDAUC 280G";1828
32753;"ECREVISSES EN CASSOLETTE MDAUC";2182
32754;"CHAPON SCE FOIE GRAS MDAUC 280G";3445
32755;"NOIX ST JACQUES MDAUC 240G    6";2820
32756;"PAVE SAUMON TAG LEG MDAUC 1KG";4666
32757;"PAVE SAUMON TAG LEG MDAUC 260G";3147
32758;"RIS VEAU MDAUC 240G    6x  .240";3075
32800;"COMPOTE LEG THON RIZ 270G MDAUC";3083
32801;"HAR BLANC MONBELIARD 960G MDAUC";7729
32802;"LANGUE BF SCE PIQ 925G MDAUC";7074
32803;"POULE AU POT LEG RIZ 1KG MDAUC";4925
32804;"SEM VOLAIL CURRY 270G MDAUC";2291
32805;"PUREE PDT VOLAIL 270G MDAUC";2988
32806;"VERMIC RIZ PORC 270G MDAUC    6";5494
32807;"VERMIC RIZ VOLAIL 270G MDAUC";4967
35002;"COUSCOUS MDCAR    6x  .440 035";420944
35008;"CALAMARS MDCAR    6x  .350 035";34822
35010;"LANGUE BOEUF MDCAR    6x  .315";221277
35012;"LAPIN CHASSEUR MDCAR    6x  .35";72690
35020;"GRATIN DAUPHINOIS MDCAR    6x";172665
35042;"TANDOORI VOLAILLE MDCAR    6x";156787
35049;"PAELLA MDCAR    6x  .350 035 CA";290825
35071;"CASSOULET MDCAR    6x  .420 035";84107
35106;"RISOTTO VOLAILLE MDCAR    6x  .";131757
35115;"MOUSSAKA AGNEAU MDCAR    6x  .3";238823
35123;"CHOU FARCI MDCAR    6x  .290 03";94386
35144;"GRATIN MACARONI THON 300G MDCAR";231505
35146;"MOUCLADE CURRY 270G MDCAR    6x";145938
35147;"RIZ CANTO MDCAR    6x  .400 035";80056
35148;"TAJINE AGNEAU LEG MDCAR    6x";189529
35150;"CALAMAR US 340G MDCAR    6x  .3";122648
35151;"BOEUF RIZ CHUTNEY MDCAR 270G";32100
35155;"CREV RIZ THAI CHUT 280G MDCAR";79482
35156;"FIDEUA 340G MDCAR    6x  .340 0";48966
35158;"PORC AIGRE DOUCE 320G MDCAR";39227
35160;"AGNEAU KASHMIRIE 300G MDCAR";35921
35162;"TAPAS 360G MDCAR    6x  .360 03";21066
35166;"GAMBAS AMERICAINE MDCAR 280G";876
35168;"SELLE AGNEAU HERBES MDCAR 350G";1145
35171;"CHEVREUIL GD VENEUR MDCAR 290G";959
35174;"FLT CANARD SCE FG MDCAR 320G";924
35400;"TAG JAMBON LEGUME MDCAR    6x";108790
35401;"MEX HARICOTS ROUGES MDCAR    6x";100241
35402;"CONCASSE BLE THON MDCAR    6x";118382
35403;"PARMENTIER VOLAILLE MDCAR    6x";144791
35450;"TAG JAMBON LEGUME MDCHA    6x";124767
35451;"MEX HARICOTS ROUGES MDCHA    6x";101141
35452;"CONCASSE BLE THON MDCHA    6x";110721
35453;"PARMENTIER VOLAILLE MDCHA    6x";131654
35470;"TAG JAMBON LEGUME MDGJ    6x  .";38744
35471;"MEX HARICOTS ROUGES MDGJ    6x";8730
35472;"CONCASSE BLE THON MDGJ    6x  .";3866
35473;"PARMENTIER VOLAILLE MDGJ    6x";35244
35507;"SAUCE MORILLES MDCAR    6x  .20";253
35510;"SAUCE FOIE GRAS MDCAR    6x  .2";845
35512;"SCE CRUSTACE MDCAR    6x  .200";632
35513;"SCE GRAND VENEUR MDCAR    6x  .";641
35550;"CALAMARS MDCHA    6x  .340 035";153962
35551;"LANGUE BOEUF MDCHA    6x  .315";188004
35552;"TANDOORI VOLAILLE MDCHA    6x";127160
35553;"KIT ECHANTILLON CHAMPION    6x";
35605;"VELOUTE CAROTTE 600G MDCAR    6";554
35606;"VELOUTE CHOU FLEUR 600G MDCAR";336
35607;"VELOUTE POIS CASSES 600G MDCAR";552
35608;"VELOUTE POTIRON 600G MDCAR    6";383
35609;"VELOUTE CHIPOLATAS 300G MDCAR";931
35610;"CHORBA 300G MDCAR    6x  .300 0";983
35611;"GARBURE 300G MDCAR    6x  .300";988
35701;"PARMENTIER POISSON 300G MDMATCH";5078
35718;"SAUMON OSEILLE 290G MDMATCH";32615
35719;"VOLAILLE CEPE MDMATCH    4x  .3";53447
35720;"BOEUF BOURG MDMATCH    4x  .320";43499
35721;"BLANQ VEAU RIZ MDMATCH    4x  .";64846
35722;"RIZ CANTO 400G MDMATCH    4x  .";23425
35723;"COUSCOUS 430G MDMATCH    4x  .4";93871
35724;"PAELLA 350G MDMATCH    4x  .350";52038
35726;"TAG CARBO 350G MDMATCH    4x  .";57209
35728;"LANGUE SCE PIQ 300G MDMATCH";40674
35729;"HACHIS PARMENT VBF 300G MDMATCH";60840
35730;"TARTIFLETTE 300G MDMATCH    4x";60461
35732;"SPAG BOLO MDMATCH 350G    4x  .";45549
35767;"LAPIN BIERE 350G MDCORA     6x";74913
35768;"GRATIN DAUPH 300G MDCORA    6x";31603
35769;"LANGUE SCE PIQ 300G MDCORA    6";71332
35770;"HACHIS PARMENT VBF 300G MDCORA";91160
35771;"TARTIFLETTE 300G MDCORA    6x";71225
35772;"SPAG BOLO MDCORA 350G    6x  .3";62778
35784;"RIZ CANTONAIS 400G MDCAS    4x";212603
35800;"AIG POULET MDCORA x6    6x  .29";94957
35801;"BLANQ VEAU RIZ MDCORA    6x  .3";92858
35802;"BOEUF BOURG 320G MDCORA    6x";88299
35805;"PAELLA 350G MDCORA    6x  .350";67042
35807;"RIZ CANTO 400G MDCORA    6x  .4";61642
35808;"SAUMON OSEILLE 290G MDCORA    6";58311
35810;"SUP VOLAIL CEPE 300G MDCORA";99107
35811;"TAG CARBO 350G MDCORA    6x  .3";89030
35812;"TAG SAUMON 350G MDCORA    6x  .";69805
35814;"COUSCOUS 430G MDCORA    6x  .43";115591
35816;"HACHIS 1KG VBF MDCORA     4x 1.";98192
35817;"RIZ CANTO MDCORA 1KG    4x 1.00";75658
35818;"SPAG BOLO MDCORA 1KG    4x 1.00";35276
35819;"TAG CARBO MDCORA 1KG    4x 1.00";49245
35820;"GRATIN MACARONI 350G MDCORA";9223
35821;"PARMENTIER POISSON 300G MDCORA";7858
35822;"GRAT PDT LARDON 300G MDCORA";14125
35850;"PAELLA 800G LSAGIS    4x  .800";83148
35851;"COUSCOUS 800G LSAGIS    4x  .80";96504
35852;"HACHIS PARMENTIER 800G LSAGIS";82187
45012;"TAJINE LEGUME 350G MDTHI    6x";74961
45014;"TAJINE POULET 350G MDTHI    6x";93383
45015;"PORC VINDALOO 350G MDTHI    6x";44813
45017;"POULET TANDOORI 350G MDTHI    6";40558
45019;"POULET KORMA 350G MDTHI    6x";40684
45359;"PALERON BOEUF ECH SUR ACCOR";17141
45500;"LANGUE BOEUF BOF    6x  .400 02";42887
45501;"CALAMARS FARCIS BOF    6x  .400";35830
46001;"N PORC 60G x8 MDTHI   10x  .520";85611
46002;"N PORC 60 x 4 MDTHI   12x  .260";1691
46011;"N CREV 60G x8 MDTHI   10x  .520";47982
46012;"N PORC 60G 8+2 THI   10x  .620";72351
46013;"ASS ASIA MDTHI   10x  .360 046";94817
46014;"ASS CREOLE MDTHI   10x  .360 04";33136
46015;"ASS GREC MDTHI   10x  .360 046";30545
46016;"ASS MEX MDTHI   10x  .360 046 S";34859
46017;"N PORC 20G x 10 MDTHI   12x  .2";86431
46019;"N POUL 60G x 4 MDTHI   12x  .26";64577
46020;"NEM CRABE/SURIMI 60G x4 MDTHI";85223
46024;"SAM VOLAILLE 30G x6 MDTHI   12x";65950
46025;"RAV CREV 25G MDTHI   12x  .190";65914
46026;"SAM FRUITS EXO 25G MDTHI   12x";11477
46027;"ASS MAROCAIN MDTHI    8x  .360";148539
46028;"PASTILLA MIEL AMANDE MDTHI   12";40283
46029;"ASS INDIEN MDTHI    8x  .340 04";89440
46031;"ASS CREOLE MDTHI (x8)    8x  .3";42496
46032;"ASS GREC MDTHI (x8)    8x  .360";40617
46033;"ASS MEX MDTHI (x8)    8x  .360";39694
46034;"N PORC 60G x8 MDTHI    8x  .520";33574
46035;"N CREV 60G x8 MDTHI    8x  .520";81062
46036;"N PORC 60G 8+2 MDTHI    8x  .64";93926
